Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g),Meal Time
Red Rice,"Jackfruit Curry, Devilled Fish, Kiri Hodi","Red Rice with Jackfruit Curry, Devilled Fish, Kiri Hodi","Red rice, Jackfruit,  Coconut milk,  Spices, curry leaves, Fish,  Chili,  Curry leaves, salt, Onion, Coconut milk","120.0, 90.0, 90.0, 45.0, 30.0, 10.0, 0.5, 100.0, 20.0, 10.0, 0.25","SLA009, SLE024, SLI006, SLK004, SLK009, SLF006, SLD060, SLI005",2013.6,34.116,200.1,127.692,55.068,1671.78,155.844,660.54,10.908,938.784,607.572,483.192,68.844,2454,52866.612,5211.792,2758.104,23.904,96.084,Breakfast/Lunch/Dinner
Red Rice,"Fish Curry, Octopus Curry, Shrimp Cutlets","Red Rice with Fish Curry, Octopus Curry, Shrimp Cutlets","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Octopus,  Chillies, Shrimp,  Potatoes,  flour","120.0, 90.0, 94.0, 150.0, 60.0, 6.0, 100.0, 25.0, 10.0, 30.0","SLA009, SLF006, SLB001, SLI006, SLK004, SLF042,  SLI005, SLK002, SLI015, SLB006, SLA018",2328,76.608,126.156,213.828,18.708,141.804,14.328,39.792,1.428,208.776,1009.572,264.06,372.888,2229.6,1523.376,941.376,2461.68,14.856,193.872,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Ala Badun, Radish Sambol","Red Rice with Beetroot Curry, Ala Badun, Radish Sambol","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Potato,  Oil,  Salt, onion, chilli, Radish,  Coconut,  pepper","120.0, 90.0, 90.0, 90.0, 60.0, 10.0, 4.0, 80.0, 60.0, 60.0, 60.0, 30.0, 5.0","SLA009, SLB001, SLI006, SLK004, SLB006, SLJ002, SLD060, SLB007, SLI005, SLK018",3363.6,39.192,322.62,184.56,77.952,190.224,35.34,561.876,10.5,710.952,817.584,503.58,193.188,4836,53573.184,5727.972,3660.96,15.6,150.216,Breakfast/Lunch/Dinner
Red Rice,"Drumstick Curry, Pumpkin curry, Batu Moju","Red Rice with Drumstick Curry, Pumpkin curry, Batu Moju","Red rice, Drumstick,  Coconut milk,  Spices, Pumpkin,  chillies, curry leaves, Eggplant,  garlic","120.0, 90.0, 100.0, 150.0, 40.0, 120.0, 40.0, 10.0, 5.0","SLA009, SLD041, SLI006, SLK004, SLD071, SLI005, SLK002, SLK009, SLD019, SLK011",2196,44.388,201.576,157.224,71.4,1780.44,160.908,968.34,12.444,976.32,858.864,496.248,98.88,3613.2,53130.36,5364.588,3523.896,21.756,121.092,Breakfast/Lunch/Dinner
Red Rice,"Chicken Curry, Bean Curry, Fenugreek Curry","Red Rice with Chicken Curry, Bean Curry, Fenugreek Curry","Red rice, Chicken,  Coconut milk,  Spices, Beans, Fenugreek,  Chillies","120.0, 90.0, 130.0, 180.0, 20.0, 40.0, 50.0","SLA009, SLH006, SLI006, SLK004, SLD060, SLK010,  SLI005, SLK002",2091.6,73.344,141.732,116.712,71.556,82.644,12.372,393.924,2.808,265.5,1317.168,449.688,111.048,2511.6,2886.108,2721.9,5683.272,2.616,98.508,Breakfast/Lunch/Dinner
Red Rice,"Cauliflower Pickle, Simmered Fish Roe, Ginger Chicken","Red Rice with Cauliflower Pickle, Simmered Fish Roe, Ginger Chicken","Red rice, Cauliflower,  Oil,  Garlic, Fish,  flour,  egg, Chicken,  Ginger,  Chillies","120.0, 90.0, 130.0, 300.0, 100.0, 140.0, 60.0, 20.0, 10.0, 50.0","SLA009, SLD031, SLJ002, SLK011, SLF054, SLA018, SLH001, SLH006, SLK012, SLK002",3012,156.024,160.248,229.524,29.16,349.176,25.788,201.348,4.26,271.032,1675.872,452.58,13035.168,3756,10245.228,10046.568,6604.08,11.676,202.272,Breakfast/Lunch/Dinner
Red Rice,"Collard Greens Curry, Tropical Salad, Chickpea Salad","Red Rice with Collard Greens Curry, Tropical Salad, Chickpea Salad","Red rice, Collard greens,  Coconut milk,  Chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber, Chickpeas,  Cabbage","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 90.0, 40.0, 60.0, 20.0, 60.0","SLA009, SLI024,  SLI005,  SLK002, SLD058, SLE001, SLB002, SLE041, SLD038, SLI013, SLD021",919.2,30.684,8.04,180.096,25.188,1514.58,143.292,210.396,1.68,198.66,391.248,131.604,138.84,1628.4,1170.06,869.904,1648.908,35.52,100.308,Breakfast/Lunch/Dinner
Red Rice,"Parippu, Green Pea Curry, Radish Sambol","Red Rice with Parippu, Green Pea Curry, Radish Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Green pea,  Chillies, Radish,  Coconut,  pepper","120.0, 90.0, 90.5, 30.0, 30.0, 10.0, 100.0, 25.0, 10.0, 60.0","SLA009, SLC001, SLI006, SLK004, SLK019, SLC007,  SLI005, SLK002, SLB007, SLI005, SLK018",3253.2,94.428,216.288,335.616,135.492,300.744,61.128,293.352,12.924,968.544,1863.432,977.868,157.872,9238.8,56348.316,7249.524,9882.732,13.668,289.188,Breakfast/Lunch/Dinner
Red Rice,"Bitter Gourd Curry, potatoe cheese Balls, Kappa Masala","Red Rice with Bitter Gourd Curry, potatoe cheese Balls, Kappa Masala","Red rice, Bitter gourd,  Coconut milk,  Spices, cheese,  Potatoes,  pepper, Cassava,  Coconut","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 60.0, 60.0, 10.0","SLA009, SLD013, SLI006, SLK004, SLG002,  SLB006,  SLK018, SLI014, SLI005",2496,46.26,232.932,166.584,29.388,319.296,2.616,13.512,6.72,867.504,1224.504,202.716,1619.52,1688.4,52573.296,5109.348,1993.452,7.98,91.596,Breakfast/Lunch/Dinner
Red Rice,"Seer Fish Curry, Collard Greens Curry, Fish Cutlets","Red Rice with Seer Fish Curry, Collard Greens Curry, Fish Cutlets","Red rice, Seer fish,  Coconut milk,  Chillies, Collard greens, Fish,  Potatoes","120.0, 90.0, 110.0, 280.0, 50.0, 25.0, 10.0","SLA009, SLF025,  SLI005, SLK002, SLI024,  SLK002, SLF034,  SLB006",812.4,64.896,14.448,105.408,8.904,161.376,7.452,33,3.204,93.852,921.396,163.476,150.264,1608,5536.8,3025.368,3598.8,1.416,92.892,Breakfast/Lunch/Dinner
Red Rice,"Pol Sambol, Banana Blossom Curry, Bitter Gourd Curry","Red Rice with Pol Sambol, Banana Blossom Curry, Bitter Gourd Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Banana blossom,  Coconut milk,  Spices, Bitter gourd","120.0, 90.0, 90.0, 60.0, 15.0, 40.0, 20.0, 20.0, 50.0, 25.0","SLA009, SLI005, SLK004, SLK016, SLE027, SLK011, SLE010, SLI006, SLD013",2040,29.436,199.728,141.792,33.864,66.612,5.244,16.344,6.588,121.2,659.34,217.62,51.792,1988.4,52867.908,5183.856,2488.008,17.016,110.424,Breakfast/Lunch/Dinner
Red Rice,"Thalapath Fish Curry, Papaya Curry, Bottle Gourd Curry","Red Rice with Thalapath Fish Curry, Papaya Curry, Bottle Gourd Curry","Red rice, Thalapath fish,  Coconut milk,  Spices, Papaya, Bottle gourd,  Chillies","120.0, 90.0, 120.0, 250.0, 50.0, 25.0, 50.0","SLA009, SLF006, SLI006, SLK004, SLE038, SLD015, SLI005, SLK002",1915.2,22.908,199.656,118.452,34.068,256.512,6.036,36.768,6.756,113.184,582.264,202.284,35.568,1816.8,52687.068,5178.168,2603.532,14.484,93.684,Breakfast/Lunch/Dinner
Red Rice,"Snake Gourd Curry, Lotus Root Curry, Jaffna Crab Curry","Red Rice with Snake Gourd Curry, Lotus Root Curry, Jaffna Crab Curry","Red rice, Snake gourd,  Coconut milk,  Spices, Lotus root,  Chillies, Crab","120.0, 90.0, 120.0, 150.0, 50.0, 150.0, 25.0","SLA009, SLD077, SLI006, SLK004, SLB005,  SLI005, SLK002, SLF045",1728,28.5,125.532,118.488,17.268,61.956,8.316,99.456,4.176,348.96,615.792,196.572,402.264,1788,1403.412,963.228,2057.736,2.244,109.644,Breakfast/Lunch/Dinner
Red Rice,"Sesame Seed Sambol, Ginger Chicken, Garlic curry","Red Rice with Sesame Seed Sambol, Ginger Chicken, Garlic curry","Red rice, Sesame seed,  Chili,  Onion, Chicken,  Ginger,  Chillies, Garlic,  Coconut milk,  chillies,  curry leaves ","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 100.0, 25.0, 10.0, 50.0, 20.0","SLA009, SLI023, SLK002,  SLD060, SLH006, SLK012, SLK011, SLI005, SLK009",1974,90.636,152.76,178.776,61.752,1738.872,162.108,430.644,9.768,947.256,1014.72,524.652,112.788,3448.8,54000.612,6470.928,4044.156,17.328,119.844,Breakfast/Lunch/Dinner
Red Rice,"Fish Curry, Carrot Curry, Coriander Sambol","Red Rice with Fish Curry, Carrot Curry, Coriander Sambol","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Carrot, Coriander,  Coconut,  pepper","120.0, 90.0, 94.0, 250.0, 60.0, 6.0, 20.0, 5.0, 60.0","SLA009, SLF006, SLB001, SLI006, SLK004, SLB002, , SLK006, SLI005, SLK018",2468.4,47.34,223.056,172.044,128.088,1706.424,33.192,294.336,9.732,1520.004,1071.768,814.44,244.152,5450.4,54479.868,18513.36,6206.88,20.28,142.428,Breakfast/Lunch/Dinner
Red Rice,"Bean Curry, Vegetable Cutlets, Kochchi Sambol","Red Rice with Bean Curry, Vegetable Cutlets, Kochchi Sambol","Red rice, Beans,  Coconut milk,  Spices, Carrot,  Potatoes,  Chillies, Green chili,  Coconut","120.0, 90.0, 90.0, 90.0, 80.0, 60.0, 60.0, 40.0, 10.0","SLA009, SLD060, SLI006, SLK004, SLB002,  SLB006,  SLK002, SLK002, SLI005",1940.4,25.284,200.136,120.24,39.276,1533.792,11.388,379.128,9.108,146.208,627.924,282.816,108.948,2164.8,52779.408,5176.332,2900.472,13.584,95.676,Breakfast/Lunch/Dinner
Red Rice,"Fish Ambul Thiyal, Snake Gourd Curry, Garlic curry","Red Rice with Fish Ambul Thiyal, Snake Gourd Curry, Garlic curry","Red rice, Fish,  Goraka,  Spices, Snake gourd,  Coconut milk, Garlic,  chillies,  curry leaves ","120.0, 90.0, 90.0, 220.0, 1.0, 30.0, 25.0, 50.0, 20.0","SLA009, SLF006, SLE027, SLK004, SLD077, SLI006, SLK011, SLI005, SLK002, SLK009",2146.8,40.104,201.912,150.168,58.956,1719.276,158.652,374.82,9.216,963.804,795.996,465.78,69.384,2902.8,53224.692,5301.432,3693.492,19.452,116.136,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Mango Curry, Tapioca Chips","Red Rice with Beetroot Curry, Mango Curry, Tapioca Chips","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Mango, Tapioca,  Oil,  Salt,  chillies","120.0, 90.0, 94.0, 190.0, 60.0, 10.0, 25.0, 10.0, 50.0, 20.0","SLA009, SLB001, SLI006, SLK004, SLE030, SLB011,  SLJ002,  SLK002",1698,14.7,123.636,129.42,16.224,209.424,0.348,6.708,0.42,69.972,352.572,126.216,100.548,1083.6,1085.556,921.984,1107.624,17.436,110.856,Breakfast/Lunch/Dinner
Red Rice,"Pol Sambol, Drumstick Curry, Coriander Sambol","Red Rice with Pol Sambol, Drumstick Curry, Coriander Sambol","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Drumstick,  Coconut milk,  Spices, Coriander,  Coconut","120.0, 90.0, 90.0, 60.0, 15.0, 100.0, 40.0, 10.0, 60.0, 30.0, 5.0","SLA009, SLI005, SLK004, SLK016, SLE027, SLK011, SLD041, SLI006, SLK006, SLK018",2623.2,55.308,223.56,199.884,133.848,220.872,36.588,705.984,9.9,1533.696,1166.52,832.86,138.144,5821.2,54670.884,18589.62,6342.348,22.488,159.144,Breakfast/Lunch/Dinner
Red Rice,"Fish Curry, Drumstick Curry, Murukku","Red Rice with Fish Curry, Drumstick Curry, Murukku","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Drumstick, flour,  Chillies","120.0, 90.0, 94.0, 250.0, 60.0, 6.0, 20.0, 5.0","SLA009, SLF006, SLB001, SLI006, SLK004, SLD041, SLA08,  SLK002",1592.4,15.888,122.868,104.088,16.512,5.58,2.568,438.708,0.648,56.748,334.296,114.108,112.452,963.6,840.744,786.084,908.748,7.656,93.9,Breakfast/Lunch/Dinner
Red Rice,"Devilled Chicken, Radish Sambol, Jaffna Crab Curry","Red Rice with Devilled Chicken, Radish Sambol, Jaffna Crab Curry","Red rice, Chicken,  Chili,  Curry leaves, salt, Onion, Radish,  Coconut,  pepper, Crab,  Coconut milk,  Chillies","120.0, 90.0, 90.0, 150.0, 30.0, 15.0, 0.5, 40.0, 120.0, 30.0, 5.0, 50.0","SLA009, SLH006, SLI006, SLK004, SLD060, SLB007, SLI005, SLK018, SLF045,  SLI005, SLK002",2473.2,77.148,214.8,166.74,76.824,252.444,42.036,622.524,13.704,958.38,1166.004,557.928,510.192,4918.8,54576.06,6980.028,4520.88,11.196,136.884,Breakfast/Lunch/Dinner
Red Rice,"Cuttlefish Curry, Okra Curry, Dhal Vade","Red Rice with Cuttlefish Curry, Okra Curry, Dhal Vade","Red rice, Cuttlefish,  Coconut milk,  Spices, Okra,  Chillies, Lentils,  chillie,  Oil","120.0, 90.0, 110.0, 150.0, 50.0, 100.0, 25.0, 10.0, 50.0","SLA009, SLF019, SLI006, SLK004, SLD053,  SLI005, SLK002, SLC009, SLJ002",3169.2,62.532,248.064,167.448,26.22,76.392,15.54,64.44,1.308,199.38,929.784,258.432,106.716,2258.4,2619.744,1725.72,2755.848,4.476,146.676,Breakfast/Lunch/Dinner
Red Rice,"Cabbage Mallung, Mango Curry, Cucumber Sambol","Red Rice with Cabbage Mallung, Mango Curry, Cucumber Sambol","Red rice, Cabbage,  Coconut,  Spices, Mango,  Coconut milk, Cucumber,  pepper","120.0, 90.0, 100.0, 160.0, 20.0, 10.0, 25.0, 60.0","SLA009, SLD021, SLI006, SLK004, SLE030, SLD038, SLI005,  SLK018",1916.4,22.872,199.5,119.496,30.264,209.388,2.352,149.232,6.768,159.36,565.152,188.064,55.62,1796.4,52741.368,5306.604,2207.604,18.012,92.484,Breakfast/Lunch/Dinner
Red Rice,"Jackfruit Curry, Ala Badun, Okra Curry","Red Rice with Jackfruit Curry, Ala Badun, Okra Curry","Red rice, Jackfruit,  Coconut milk,  Spices, curry leaves, Potato,  Oil,  Salt, onion, chilli, Okra,  Chillies","120.0, 90.0, 115.0, 45.0, 30.0, 10.0, 0.5, 80.0, 60.0, 60.0, 50.0, 10.0","SLA009, SLE024, SLI006, SLK004, SLK009, SLB006, SLJ002, SLD060, SLD053,  SLI005, SLK002",2950.8,32.58,245.712,145.704,48.18,1732.464,169.872,713.928,5.532,1044.792,577.32,525.864,65.952,3090,1622.076,895.896,2430.828,18.444,113.1,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Capsicum Curry, Polos Ambula","Red Rice with Beetroot Curry, Capsicum Curry, Polos Ambula","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Capsicum,  Chillies, Jackfruit,  coconut milk,  chillies,  curry leaves","120.0, 90.0, 94.0, 90.0, 60.0, 10.0, 100.0, 25.0, 10.0, 80.0, 30.0","SLA009, SLB001, SLI006, SLK004, SLF045,  SLI005, SLK002, SLD049, SLI005, SLK009",2062.8,47.592,201.78,123.708,62.712,1724.412,165.552,386.484,12,1197.108,896.412,529.092,504.264,3192,53073.756,5345.772,3490.08,17.556,98.448,Breakfast/Lunch/Dinner
Red Rice,"Bitter Gourd Salad, potatoe cheese Balls, Garlic curry","Red Rice with Bitter Gourd Salad, potatoe cheese Balls, Garlic curry","Red rice, Bitter gourd,  Coconut,  Onion, cheese,  Potatoes,  pepper, Garlic,  Coconut milk,  chillies,  curry leaves ","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 60.0, 60.0, 10.0, 50.0, 20.0","SLA009, SLD013, SLI006, SLG002,  SLB006,  SLK018, SLK011, SLI005, SLK002, SLK009",1486.8,64.056,114.9,156.876,60.876,2016.288,159.876,363.192,9.108,1706.184,1463.628,471.492,1642.584,2992.8,52962.612,5213.388,3242.484,15.804,116.256,Breakfast/Lunch/Dinner
Red Rice,"Fish Ambul Thiyal, Bitter Leaf Curry, Sesame Seed Sambol","Red Rice with Fish Ambul Thiyal, Bitter Leaf Curry, Sesame Seed Sambol","Red rice, Fish,  Goraka,  Spices, Bitter leaves,  Coconut milk,  Chillies, Sesame seed,  Chili,  Onion","120.0, 90.0, 90.0, 120.0, 1.0, 20.0, 100.0, 25.0, 10.0, 50.0","SLA009, SLF006, SLE027, SLK004, SLD013, SLI005, SLK002, SLI023,  SLD060",2628,45.66,260.472,149.592,32.316,112.404,8.28,41.856,6.816,127.92,608.736,233.028,42.576,1990.8,52982.496,5209.992,2942.652,12.336,93.9,Breakfast/Lunch/Dinner
Red Rice,"Jackfruit Curry, Fish Curry, Bitter Gourd Salad","Red Rice with Jackfruit Curry, Fish Curry, Bitter Gourd Salad","Red rice, Jackfruit,  Coconut milk,  Spices, curry leaves, Fish, Bitter gourd,  Coconut,  Onion","120.0, 90.0, 90.5, 145.0, 70.0, 10.0, 3.0, 2.0, 50.0","SLA009, SLE024, SLI006, SLK004, SLK009, SLF006, SLB001, SLD013",1735.2,27.264,124.416,121.932,38.76,1739.7,153.828,342.816,2.604,910.308,425.316,381.576,127.2,1992,1315.872,846.78,1620.84,20.856,97.752,Breakfast/Lunch/Dinner
Red Rice,"Elumas Curry, Seer Fish Curry, Coconut Sambol","Red Rice with Elumas Curry, Seer Fish Curry, Coconut Sambol","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Seer fish,  Chillies, Coconut,  Chili,  Onion","120.0, 90.0, 94.0, 150.0, 60.0, 10.0, 100.0, 25.0, 10.0, 50.0","SLA009, SLH018, SLI006, SLK004, SLK009, SLF025,  SLI005, SLK002, SLI005,  SLK002, SLD060",2137.2,59.628,207.06,117.804,55.932,1810.872,162.276,679.548,11.928,940.848,1027.296,533.652,112.224,3154.8,55653.708,6496.896,4900.872,10.452,97.74,Breakfast/Lunch/Dinner
Red Rice,"Devilled Fish, Green Gram Curry, Kohila Curry","Red Rice with Devilled Fish, Green Gram Curry, Kohila Curry","Red rice, Fish,  Chili,  Curry leaves, salt, Onion, Green gram,  Coconut milk,  Spices, Kohila,  Chillies","120.0, 90.0, 90.0, 150.0, 30.0, 15.0, 0.5, 50.0, 100.0, 25.0, 50.0","SLA009, SLF006, SLI006, SLK004, SLD060, SLC006, SLB004,  SLI005, SLK002",1630.8,16.284,123.96,110.088,18.996,47.856,9.972,361.5,2.604,135.024,358.74,213.012,46.068,1764,1131.828,778.644,1483.608,2.064,100.332,Breakfast/Lunch/Dinner
Red Rice,"Devilled Chicken, Beef Curry, Jaffna Crab Curry","Red Rice with Devilled Chicken, Beef Curry, Jaffna Crab Curry","Red rice, Chicken,  Chili,  Curry leaves, salt, Onion, Beef,  Coconut milk,  Chillies, Crab","120.0, 90.0, 90.0, 150.0, 30.0, 15.0, 0.5, 50.0, 170.0, 25.0","SLA009, SLH006, SLI006, SLK004, SLD060, SLH016,  SLI005, SLK002, SLF045",2055.6,83.244,144.456,103.452,15.24,66.624,11.94,402.516,6.072,337.26,1005.168,287.04,492.132,2167.2,5757.84,5943.456,2623.272,1.992,94.212,Breakfast/Lunch/Dinner
Red Rice,"Chicken Curry, Polos Curry, Sesame Seed Sambol","Red Rice with Chicken Curry, Polos Curry, Sesame Seed Sambol","Red rice, Chicken,  Coconut milk,  Spices, Jackfruit, curry leaves, Sesame seed,  Chili,  Onion","120.0, 90.0, 100.0, 150.0, 20.0, 20.0, 5.0, 0.25, 50.0","SLA009, SLH006, SLI006, SLK004, SLE024, SLK009, SLI023, SLK002,  SLD060",2620.8,75.06,195.96,146.808,35.052,1725.828,156.168,400.428,3.024,898.104,609.996,365.256,67.524,2064,2205,2037.384,2446.356,16.812,97.068,Breakfast/Lunch/Dinner
Red Rice,"Mustard Greens Curry, Coriander Sambol, Spicy Crab","Red Rice with Mustard Greens Curry, Coriander Sambol, Spicy Crab","Red rice, Mustard greens,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Crab,  Oil,  chillies","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 120.0, 30.0, 5.0, 70.0","SLA009, SLI025,  SLI005,  SLK002, SLK006, SLI005, SLK018, SLF045, SLJ002, SLK002",2528.4,61.992,224.388,171.924,123.756,272.388,38.7,298.044,12.456,1727.976,1236.996,859.14,467.412,5520,54612.228,18586.08,6504.324,12.408,141.288,Breakfast/Lunch/Dinner
Red Rice,"Kohila Curry, Sweet Corn Curry, Seer Fish Curry","Red Rice with Kohila Curry, Sweet Corn Curry, Seer Fish Curry","Red rice, Kohila,  Coconut milk,  Chillies, Sweet corn, Seer fish","120.0, 90.0, 120.0, 300.0, 50.0, 25.0","SLA009, SLB004,  SLI005, SLK002, SLD037,  SLI005 , SLF025",769.2,43.836,11.46,120.036,19.968,146.436,44.892,129.48,1.452,196.404,690.996,197.712,68.628,2209.2,3837.72,2526.912,3573.936,2.076,103.956,Breakfast/Lunch/Dinner
Red Rice,"Prawn Curry, Radish Sambol, Pineapple Pickle","Red Rice with Prawn Curry, Radish Sambol, Pineapple Pickle","Red rice, Prawn,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Pineapple,  salt","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 125.0, 30.0, 50.0","SLA009, SLF043,  SLI005, SLK002, SLB007, SLI005, SLK018, SLE041,  SLK018",1218,53.28,83.616,172.572,74.724,242.592,165.96,286.788,12.18,714.672,969.216,455.436,314.016,4178.4,53514.264,5837.34,3976.584,20.88,135.564,Breakfast/Lunch/Dinner
Red Rice,"Green Pea Curry, Fish Patties, Fish Cutlets","Red Rice with Green Pea Curry, Fish Patties, Fish Cutlets","Red rice, Green pea,  Coconut milk,  Chillies, Fish,  Flour,  Oil,  Potatoes","120.0, 90.0, 90.0, 180.0, 80.0, 20.0, 80.0, 30.0","SLA009, SLC007,  SLI005, SLK002, SLF036,  SLF034,  SLJ002, SLF034,  SLB006,  SLK002",1074,86.46,9.972,155.292,29.64,111.708,10.56,47.976,3,208.524,1215.396,325.824,150.528,2720.4,3682.8,1959.396,3064.8,2.172,146.868,Breakfast/Lunch/Dinner
Red Rice,"Prawn Curry, Tapioca Chips, Coriander Sambol","Red Rice with Prawn Curry, Tapioca Chips, Coriander Sambol","Red rice, Prawn,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt,  chillies, Coriander,  Coconut,  pepper","120.0, 90.0, 90.0, 150.0, 50.0, 20.0, 100.0, 40.0, 10.0, 10.0, 60.0","SLA009, SLF043,  SLI005, SLK002, SLB011,  SLJ002,  SLK002, SLK006, SLI005, SLK018",1533.6,65.436,104.148,187.38,129.456,263.88,40.404,300.372,13.5,1555.884,1334.076,886.428,339.912,5748,54604.188,18600.66,6569.544,15.036,159.576,Breakfast/Lunch/Dinner
Red Rice,"Banana Blossom Curry, Snake Gourd Curry, Fish Cutlets","Red Rice with Banana Blossom Curry, Snake Gourd Curry, Fish Cutlets","Red rice, Banana blossom,  Coconut milk,  Spices, Snake gourd, Fish,  Potatoes,  Chillies","120.0, 90.0, 100.0, 160.0, 20.0, 25.0, 10.0, 30.0","SLA009, SLE010, SLI006, SLK004, SLD077, SLF034,  SLB006,  SLK002",1657.2,32.892,126.9,94.584,6.54,23.472,0.876,18.024,2.208,90.264,524.436,101.148,110.964,710.4,2879.28,1727.76,1487.736,0.756,91.476,Breakfast/Lunch/Dinner
Red Rice,"Cauliflower Pickle, Batu Moju, Ginger Chicken","Red Rice with Cauliflower Pickle, Batu Moju, Ginger Chicken","Red rice, Cauliflower,  Oil,  Garlic, Eggplant,  garlic, Chicken,  Ginger,  Chillies","120.0, 90.0, 90.0, 300.0, 100.0, 40.0, 70.0, 15.0, 10.0","SLA009, SLD031, SLJ002, SLK011, SLD019, SLH006, SLK012, SLK002",2053.2,55.956,136.632,144.636,30.276,99.84,14.904,139.764,1.26,140.124,790.044,251.172,113.568,2614.8,2423.46,2085.108,2708.88,10.86,118.272,Breakfast/Lunch/Dinner
Red Rice,"Chicken Curry, Okra Curry, Tender Jackfruit Fry","Red Rice with Chicken Curry, Okra Curry, Tender Jackfruit Fry","Red rice, Chicken,  Coconut milk,  Spices, Okra,  Chillies, Jackfruit,  Oil","120.0, 90.0, 100.0, 120.0, 20.0, 100.0, 25.0, 10.0","SLA009, SLH006, SLI006, SLK004, SLD053,  SLI005, SLK002, SLD049, SLJ002",2918.4,45.912,255.18,107.688,22.596,68.94,22.044,120.576,1.356,203.544,626.46,204.12,55.728,1734,2099.928,1991.844,2009.448,4.548,93.996,Breakfast/Lunch/Dinner
Red Rice,"Fish Curry, Dry Fish Curry, Devilled Beef","Red Rice with Fish Curry, Dry Fish Curry, Devilled Beef","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Dry fish,  Chillies, Beef,  Oil,  chillies","120.0, 90.0, 94.0, 150.0, 60.0, 6.0, 100.0, 25.0, 10.0, 80.0","SLA009, SLF006, SLB001, SLI006, SLK004, SLF020,  SLI005,  SLK002, SLH016, SLJ002, SLK002",2995.2,67.008,255.444,105.42,13.056,68.688,5.34,46.14,3.18,582.084,735.276,209.832,256.8,1796.4,6357.864,5363.052,2314.404,6.612,94.872,Breakfast/Lunch/Dinner
Red Rice,"Devilled Fish, Drumstick Curry, Vegetable Balls","Red Rice with Devilled Fish, Drumstick Curry, Vegetable Balls","Red rice, Fish,  Chili,  Curry leaves, salt, Onion, Drumstick,  Coconut milk,  Spices, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","120.0, 90.0, 90.0, 150.0, 30.0, 15.0, 0.5, 40.0, 100.0, 20.0, 5.0, 30.0, 50.0, 10.0","SLA009, SLF006, SLI006, SLK004, SLD060, SLD041, SLB002,  SLD055,  SLD049,  SLB006,  SLK018",1623.6,16.776,123.54,108.168,23.964,1491.756,8.616,779.964,2.916,107.832,365.412,176.232,111.396,1340.4,1019.184,793.32,1250.34,6.912,94.704,Breakfast/Lunch/Dinner
Red Rice,"Chicken Curry, Bitter Leaf Curry, Prawn Curry","Red Rice with Chicken Curry, Bitter Leaf Curry, Prawn Curry","Red rice, Chicken,  Coconut milk,  Spices, Bitter leaves,  Chillies, Prawn","120.0, 90.0, 110.0, 120.0, 20.0, 150.0, 25.0","SLA009, SLH006, SLI006, SLK004, SLD013, SLI005, SLK002, SLF043,  SLI005",2184,69.204,211.32,113.16,32.316,121.632,11.28,80.712,10.692,164.448,1035.9,301.14,303.552,2349.6,53808.096,6425.352,3071.052,9.18,93.9,Breakfast/Lunch/Dinner
