Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Red Rice,"Vegetable Cutlets, Murukku, Shrimp Cutlets","Red Rice with Vegetable Cutlets, Murukku, Shrimp Cutlets","Red rice, Carrot,  Potatoes,  Chillies, flour, Shrimp,  Potatoes,  flour","40, 30.0, 40.0, 30.0, 50.0, 30.0, 50.0, 20.0","SLA009, SLB002,  SLB006,  SLK002, SLA08, SLI015, SLB006, SLA018"
Red Rice,"Bathala Curry, Spinach Curry, Fish Cutlets","Red Rice with Bathala Curry, Spinach Curry, Fish Cutlets","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Spinach,  Coconut milk, Fish,  Potatoes,  Chillies","40, 50.0, 20.0, 35.0, 3.0, 30.0, 40.0, 30.0, 50.0, 10.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLI022,  SLI005, SLF034,  SLB006,  SLK002"
Red Rice,"Papaya Curry, Octopus Curry, Murukku","Red Rice with Papaya Curry, Octopus Curry, Murukku","Red rice, Papaya,  Coconut milk,  Spices, Octopus,  Coconut milk,  Chillies, flour,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 50.0, 20.0","SLA009, SLE038, SLI006, SLK004, SLF042,  SLI005, SLK002, SLA08,  SLK002"
Red Rice,"Soya Meat Curry, Tapioca Chips, Tender Jackfruit Fry","Red Rice with Soya Meat Curry, Tapioca Chips, Tender Jackfruit Fry","Red rice, Soya meat,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt, Jackfruit,  Oil","40, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0, 90.0, 20.0","SLA009, SLK008, SLI005, SLK004, SLB011,  SLJ002,  SLK002, SLD049, SLJ002"
Red Rice,"Jaffna Crab Curry, Gotu Kola Sambol, Coconut Sambol","Red Rice with Jaffna Crab Curry, Gotu Kola Sambol, Coconut Sambol","Red rice, Crab,  Coconut milk,  Chillies, Gotu Kola,  Coconut,  Onion,  Chili","40, 50.0, 25.0, 10.0, 10.0, 65.0, 35.0, 15.0","SLA009, SLF045,  SLI005, SLK002, SLD048, SLI005, SLD060,  SLK002"
Red Rice,"Green Banana Curry, Sesame Seed Sambol, Mustard Greens Curry","Red Rice with Green Banana Curry, Sesame Seed Sambol, Mustard Greens Curry","Red rice, Green banana,  Coconut milk,  Chillies, Sesame seed,  Onion, Mustard greens,  Chillies","40, 50.0, 50.0, 35.0, 50.0, 10.0, 50.0, 10.0","SLA009, SLD065,  SLI005, SLK002, SLI023,  SLD060, SLI025,  SLK002"
Red Rice,"Fenugreek Curry, Mint Sambol, Tender Jackfruit Fry","Red Rice with Fenugreek Curry, Mint Sambol, Tender Jackfruit Fry","Red rice, Fenugreek,  Coconut milk,  Chillies, Mint,  pepper, Jackfruit,  Oil","40, 50.0, 55.0, 10.0, 60.0, 5.0, 90.0, 20.0","SLA009, SLK010,  SLI005, SLK002, SLI020, SLK018, SLD049, SLJ002"
Red Rice,"Carrot Curry, Soya Meat Curry, Spicy Crab","Red Rice with Carrot Curry, Soya Meat Curry, Spicy Crab","Red rice, Carrot,  Coconut milk,  Spices, Soya meat,  Chillies, Crab,  Oil,  chillies","40, 50.0, 45.0, 5.0, 50.0, 10.0, 70.0, 20.0, 10.0","SLA009, SLB002, SLI005, SLK006, SLK008, SLK004, SLF045, SLJ002, SLK002"
Red Rice,"Drumstick Curry, Jaffna Crab Curry, Coconut Sambol","Red Rice with Drumstick Curry, Jaffna Crab Curry, Coconut Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Crab,  Coconut milk,  Chillies,  Chili,  Onion","40, 50.0, 70.0, 5.0, 50.0, 25.0, 10.0, 15.0, 20.0","SLA009, SLD041, SLI005, SLK006, SLF045,  SLI005, SLK002,  SLK002, SLD060"
Red Rice,"Thalapath Fish Curry, Carrot curry, Pineapple Pickle","Red Rice with Thalapath Fish Curry, Carrot curry, Pineapple Pickle","Red rice, Thalapath fish,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Pineapple,  pepper","40, 50.0, 45.0, 10.0, 50.0, 10.0, 5.0, 50.0, 10.0","SLA009, SLF019, SLI005, SLK006, SLB002, SLK002, SLK009, SLE041,  SLK018"
Red Rice,"Chicken Curry, Pol Sambol, Devilled Fish","Red Rice with Chicken Curry, Pol Sambol, Devilled Fish","Red rice, Chicken,  Coconut milk,  Spices,  Chili,  Onion, Lime, Garlic, Fish,  Curry leaves","40, 40.0, 60.0, 5.0, 10.0, 30.0, 3.0, 3.0, 50.0, 5.0","SLA009, SLH006, SLI005, SLK006, SLK002, SLD060, SLE028, SLK011, SLF006, SLK009"
Red Rice,"Prawn Curry, Kappa Masala, Indian Fish Curry","Red Rice with Prawn Curry, Kappa Masala, Indian Fish Curry","Red rice, Prawn,  Coconut milk,  Chillies, Cassava,  Coconut, Fish","40, 50.0, 25.0, 20.0, 60.0, 55.0, 60.0","SLA009, SLF043,  SLI005, SLK002, SLI014, SLI005, SLF034"
Red Rice,"Dry Fish Curry, Vegetable Cutlets, Fish Curry","Red Rice with Dry Fish Curry, Vegetable Cutlets, Fish Curry","Red rice, Dry fish,  Coconut milk,  Chillies, Carrot,  Potatoes, Fish,  Coconut milk,  Spices, curry leaves","40, 50.0, 25.0, 20.0, 30.0, 40.0, 50.0, 20.0, 3.0, 2.0","SLA009, SLF020,  SLI005,  SLK002, SLB002,  SLB006, SLF013, SLI005, SLK006, SLK009"
Red Rice,"Chickpea Curry, Sweet Corn Curry, Sinhala Achcharu","Red Rice with Chickpea Curry, Sweet Corn Curry, Sinhala Achcharu","Red rice, Chickpea,  Coconut milk,  Chillies, Sweet corn,  Coconut milk,  Chillies, Carrot,  onion,  Vinegar","40, 50.0, 25.0, 10.0, 50.0, 25.0, 25.0, 30.0, 35.0, 10.0","SLA009, SLI013, SLI005, SLK004, SLD037,  SLI005 , SLK002, SLB002, SLD060, SLI017"
Red Rice,"Beetroot Curry, Devilled Fish, Ulundu Wade","Red Rice with Beetroot Curry, Devilled Fish, Ulundu Wade","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Fish,  Chili, Onion, Urad,  flour,  Oil","40, 30.0, 20.0, 5.0, 7.0, 50.0, 5.0, 20.0, 30.0, 40.0, 20.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLF006, SLK002, SLD060, SLI020,  SLA08,  SLJ002"
Red Rice,"Snake Gourd Curry, Jaffna Crab Curry, Carrot Sambol","Red Rice with Snake Gourd Curry, Jaffna Crab Curry, Carrot Sambol","Red rice, Snake gourd,  Coconut milk,  Spices, Crab,  Coconut milk,  Chillies, Carrot,  pepper","40, 50.0, 25.0, 10.0, 50.0, 35.0, 10.0, 50.0, 5.0","SLA009, SLD077, SLI005, SLK006, SLF045,  SLI005, SLK002, SLB002,  SLK018"
Red Rice,"Dhal Curry, Bitter Gourd Salad, Kochchi Sambol","Red Rice with Dhal Curry, Bitter Gourd Salad, Kochchi Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Bitter gourd,  Onion, Green chili","40, 80.0, 65.0, 5.0, 5.0, 50.0, 10.0, 10.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLD013, SLI006, SLK002"
Red Rice,"Beetroot Curry, Bitter Gourd Salad, Mango Chutney","Red Rice with Beetroot Curry, Bitter Gourd Salad, Mango Chutney","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Bitter gourd,  Onion, Mango,  Vinegar,  sugar","40, 30.0, 45.0, 5.0, 2.0, 50.0, 10.0, 40.0, 10.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLD013, SLI006, SLE030, SLI017, SLI011"
Red Rice,"Carrot curry, Seeni Sambol, Chickpea Salad","Red Rice with Carrot curry, Seeni Sambol, Chickpea Salad","Red rice, Carrot,  Coconut milk,  chillies, curry leaves, Onion,  Sugar, Chickpeas,  Cabbage","40, 80.0, 20.0, 15.0, 5.0, 50.0, 5.0, 60.0, 30.0","SLA009, SLB002, SLI005, SLK002, SLK009, SLD060, SLI011, SLI013, SLD021"
Red Rice,"Bitter Gourd Salad, Mint Sambol, Garlic curry","Red Rice with Bitter Gourd Salad, Mint Sambol, Garlic curry","Red rice, Bitter gourd,  Coconut,  Onion, Mint,  Coconut,  pepper, Garlic,  chillies,  curry leaves ","40, 50.0, 45.0, 10.0, 60.0, 30.0, 5.0, 50.0, 10.0, 5.0","SLA009, SLD013, SLI005, SLI006, SLI020,  SLI005, SLK018, SLK011, SLK002, SLK009"
Red Rice,"Elumas Curry, Cuttlefish Curry, Fenugreek Curry","Red Rice with Elumas Curry, Cuttlefish Curry, Fenugreek Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Cuttlefish, Fenugreek,  Coconut milk,  Chillies","40, 50.0, 45.0, 15.0, 2.0, 50.0, 50.0, 25.0, 10.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLK007, SLK010,  SLI005, SLK002"
Red Rice,"Carrot Curry, Ash Plantain Curry, Murukku","Red Rice with Carrot Curry, Ash Plantain Curry, Murukku","Red rice, Carrot,  Coconut milk,  Spices, Ash plantain,  Chillies, flour,  Chillies","40, 50.0, 45.0, 5.0, 50.0, 10.0, 50.0, 20.0","SLA009, SLB002, SLI005, SLK006, SLD005, SLK004, SLA08,  SLK002"
Red Rice,"Gotu Kola Sambol, Coriander Sambol, Shrimp Cutlets","Red Rice with Gotu Kola Sambol, Coriander Sambol, Shrimp Cutlets","Red rice, Gotu Kola,  Coconut,  Onion, Coriander,  pepper, Shrimp,  Potatoes,  flour","40, 10.0, 45.0, 15.0, 60.0, 5.0, 30.0, 50.0, 20.0","SLA009, SLD048, SLI005, SLD060, SLK006, SLK018, SLI015, SLB006, SLA018"
Red Rice,"Sweet Corn Curry, Pumpkin Leaves Curry, Radish Sambol","Red Rice with Sweet Corn Curry, Pumpkin Leaves Curry, Radish Sambol","Red rice, Sweet corn,  Coconut milk,  Chillies, Pumpkin leaves,  Coconut milk, Radish,  Coconut,  pepper","40, 50.0, 25.0, 20.0, 50.0, 25.0, 60.0, 30.0, 5.0","SLA009, SLD037,  SLI005 , SLK002, SLI026,  SLI005, SLB007, SLI005, SLK018"
Red Rice,"Bitter Gourd Curry, Soya Meat Curry, Shrimp Cutlets","Red Rice with Bitter Gourd Curry, Soya Meat Curry, Shrimp Cutlets","Red rice, Bitter gourd,  Coconut milk,  Spices, Soya meat,  Chillies, Shrimp,  Potatoes,  flour","40, 50.0, 50.0, 10.0, 50.0, 10.0, 30.0, 50.0, 20.0","SLA009, SLD013, SLI005, SLK006, SLK008, SLK004, SLI015, SLB006, SLA018"
Red Rice,"Pineapple Curry, Sesame Seed Sambol, Pineapple Pickle","Red Rice with Pineapple Curry, Sesame Seed Sambol, Pineapple Pickle","Red rice, Pineapple,  Coconut milk,  Spices, Sesame seed,  Chili,  Onion,  pepper","40, 100.0, 25.0, 10.0, 50.0, 25.0, 10.0, 10.0","SLA009, SLE041, SLI005, SLK006, SLI023, SLK002,  SLD060,  SLK018"
Red Rice,"Bean Curry, Mango Chutney, Devilled Beef","Red Rice with Bean Curry, Mango Chutney, Devilled Beef","Red rice, Beans,  Coconut milk,  Spices, Mango,  Vinegar,  sugar, Beef,  Oil,  chillies","40, 30.0, 40.0, 30.0, 40.0, 10.0, 10.0, 80.0, 30.0, 5.0","SLA009, SLD006, SLI005, SLK006, SLE030, SLI017, SLI011, SLH016, SLJ002, SLK002"
Red Rice,"Potato Curry, Ginger Chicken, Radish Sambol","Red Rice with Potato Curry, Ginger Chicken, Radish Sambol","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Chicken,  Ginger,  Chillies, Radish,  pepper","40, 20.0, 60.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 60.0, 5.0","SLA009, SLB006, SLI005, SLK006, SLK009, SKL019, SLH006, SLK012, SLK002, SLB007, SLK018"
Red Rice,"Green Banana Curry, Cauliflower Pickle, Fish Curry","Red Rice with Green Banana Curry, Cauliflower Pickle, Fish Curry","Red rice, Green banana,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic, Fish,  Coconut milk,  Spices, curry leaves","40, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0, 50.0, 20.0, 3.0, 2.0","SLA009, SLD065,  SLI005, SLK002, SLD031, SLJ002, SLK011, SLF013, SLI005, SLK006, SLK009"
Red Rice,"Dhal Curry, Cabbage Mallung, Green Gram Curry","Red Rice with Dhal Curry, Cabbage Mallung, Green Gram Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Cabbage, Green gram","40, 80.0, 45.0, 20.0, 5.0, 20.0, 50.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLD021, SLC006"
Red Rice,"Octopus Curry, Murukku, Polos Mallum","Red Rice with Octopus Curry, Murukku, Polos Mallum","Red rice, Octopus,  Coconut milk,  Chillies, flour,  Chillies, Jackfruit,  Coconut,  oil","40, 50.0, 25.0, 10.0, 50.0, 20.0, 50.0, 30.0, 5.0","SLA009, SLF042,  SLI005, SLK002, SLA08,  SLK002, SLE024, SLI005, SLJ002"
Red Rice,"Beetroot Curry, Polos Mallum, Batu Moju","Red Rice with Beetroot Curry, Polos Mallum, Batu Moju","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Jackfruit,  oil, Eggplant,  garlic","40, 30.0, 50.0, 5.0, 2.0, 50.0, 5.0, 70.0, 15.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLE024, SLJ002, SLD019, SLK011"
Red Rice,"Papaya Curry, Fish Curry, Ginger Chicken","Red Rice with Papaya Curry, Fish Curry, Ginger Chicken","Red rice, Papaya,  Coconut milk,  Spices, Fish,  Coconut milk,  Spices, curry leaves, Chicken,  Ginger,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 20.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA009, SLE038, SLI006, SLK004, SLF013, SLI005, SLK006, SLK009, SLH006, SLK012, SLK002"
Red Rice,"Kohila Curry, Fenugreek Curry, Polos Mallum","Red Rice with Kohila Curry, Fenugreek Curry, Polos Mallum","Red rice, Kohila,  Coconut milk,  Chillies, Fenugreek, Jackfruit,  Coconut,  oil","40, 50.0, 50.0, 20.0, 50.0, 50.0, 30.0, 5.0","SLA009, SLB004,  SLI005, SLK002, SLK010, SLE024, SLI005, SLJ002"
Red Rice,"Gotu Kola Sambol, Beef Curry, Polos Ambula","Red Rice with Gotu Kola Sambol, Beef Curry, Polos Ambula","Red rice, Gotu Kola,  Coconut,  Onion, Beef,  Coconut milk,  Chillies, Jackfruit,  curry leaves","40, 10.0, 45.0, 15.0, 60.0, 25.0, 20.0, 80.0, 10.0","SLA009, SLD048, SLI005, SLD060, SLH016,  SLI005, SLK002, SLD049, SLK009"
Red Rice,"Ash Plantain Curry, Fish Patties, Garlic curry","Red Rice with Ash Plantain Curry, Fish Patties, Garlic curry","Red rice, Ash plantain,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Garlic,  chillies,  curry leaves ","40, 50.0, 45.0, 10.0, 40.0, 30.0, 30.0, 50.0, 10.0, 5.0","SLA009, SLD005, SLI005, SLK004, SLF036,  SLF034,  SLJ002, SLK011, SLK002, SLK009"
Red Rice,"Bathala Curry, Kochchi Sambol, Cauliflower Pickle","Red Rice with Bathala Curry, Kochchi Sambol, Cauliflower Pickle","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Green chili, Cauliflower,  Oil,  Garlic","40, 50.0, 50.0, 5.0, 3.0, 10.0, 100.0, 50.0, 20.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLK002, SLD031, SLJ002, SLK011"
Red Rice,"Beetroot Curry, Kochchi Sambol, Spicy Crab","Red Rice with Beetroot Curry, Kochchi Sambol, Spicy Crab","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Green chili, Crab,  Oil","40, 30.0, 50.0, 5.0, 2.0, 20.0, 70.0, 20.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLK002, SLF045, SLJ002"
Red Rice,"Cabbage Mallung, Sweet Corn Curry, Fenugreek Curry","Red Rice with Cabbage Mallung, Sweet Corn Curry, Fenugreek Curry","Red rice, Cabbage,  Coconut,  Spices, Sweet corn,  Coconut milk,  Chillies, Fenugreek,  Coconut milk","40, 20.0, 10.0, 5.0, 50.0, 25.0, 20.0, 50.0, 25.0","SLA009, SLD021, SLI005, SLK006, SLD037,  SLI005 , SLK002, SLK010,  SLI005"
Red Rice,"Chicken Curry, Fish Curry, Ash Plantain Curry","Red Rice with Chicken Curry, Fish Curry, Ash Plantain Curry","Red rice, Chicken,  Coconut milk,  Spices, Fish, curry leaves, Ash plantain,  Chillies","40, 40.0, 55.0, 8.0, 50.0, 2.0, 50.0, 10.0","SLA009, SLH006, SLI005, SLK006, SLF013, SLK009, SLD005, SLK004"
Red Rice,"Ash Plantain Curry, Jaffna Crab Curry, Capsicum Curry","Red Rice with Ash Plantain Curry, Jaffna Crab Curry, Capsicum Curry","Red rice, Ash plantain,  Coconut milk,  Chillies, Crab,  Coconut milk,  Chillies","40, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0","SLA009, SLD005, SLI005, SLK004, SLF045,  SLI005, SLK002"
Red Rice,"Eggplant Curry, Potato Curry, Chickpea Curry","Red Rice with Eggplant Curry, Potato Curry, Chickpea Curry","Red rice, Eggplant,  Spices,  Coconut milk, Potato, curry leaves, Turmeric Powder, Chickpea,  Chillies","40, 30.0, 12.0, 65.0, 20.0, 5.0, 2.0, 50.0, 10.0","SLA009, SLD019, SLK006, SLI005, SLB006, SLK009, SKL019, SLI013, SLK004"
Red Rice,"Sweet Corn Curry, Gotu Kola Sambol, Batu Moju","Red Rice with Sweet Corn Curry, Gotu Kola Sambol, Batu Moju","Red rice, Sweet corn,  Coconut milk,  Chillies, Gotu Kola,  Coconut,  Onion, Eggplant,  garlic","40, 50.0, 25.0, 10.0, 10.0, 15.0, 15.0, 70.0, 15.0","SLA009, SLD037,  SLI005 , SLK002, SLD048, SLI005, SLD060, SLD019, SLK011"
Red Rice,"Green Gram Curry, Cuttlefish Curry, Spicy Crab","Red Rice with Green Gram Curry, Cuttlefish Curry, Spicy Crab","Red rice, Green gram,  Coconut milk,  Spices, Cuttlefish, Crab,  Oil,  chillies","40, 50.0, 50.0, 20.0, 50.0, 70.0, 20.0, 10.0","SLA009, SLC006, SLI005, SLK006, SLK007, SLF045, SLJ002, SLK002"
Red Rice,"Brinjal Moju, Dhal Vade, Sprats Fry","Red Rice with Brinjal Moju, Dhal Vade, Sprats Fry","Red rice, Eggplant,  Vinegar,  Spices, Lentils,  chillie,  Oil, Dried fish","40, 30.0, 40.0, 30.0, 50.0, 25.0, 50.0, 40.0","SLA009, SLD019,  SLI017,  SLK006, SLC009, SLK002, SLJ002, SLF019"
Red Rice,"Eggplant Curry, Chicken Curry, Snake Gourd Curry","Red Rice with Eggplant Curry, Chicken Curry, Snake Gourd Curry","Red rice, Eggplant,  Spices,  Coconut milk, Chicken, Snake gourd","40, 30.0, 17.0, 45.0, 40.0, 50.0","SLA009, SLD019, SLK006, SLI005, SLH006, SLD077"
Red Rice,"Beetroot Curry, Snake Gourd Curry, Devilled Beef, Indian Fish Curry","Red Rice with Beetroot Curry, Snake Gourd Curry, Devilled Beef, Indian Fish Curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Snake gourd, Beef,  Oil,  chillies, Fish","40, 30.0, 75.0, 15.0, 2.0, 50.0, 80.0, 30.0, 15.0, 60.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLD077, SLH016, SLJ002, SLK002, SLF034"
Red Rice,"Chicken Curry, Bathala Curry, Polos Mallum, Kappa Masala","Red Rice with Chicken Curry, Bathala Curry, Polos Mallum, Kappa Masala","Red rice, Chicken,  Coconut milk,  Spices, Sweet potato, curry leaves, Jackfruit,  oil, Cassava","40, 40.0, 85.0, 10.0, 50.0, 3.0, 50.0, 5.0, 60.0","SLA009, SLH006, SLI005, SLK006, SLB010, SLK009, SLE024, SLJ002, SLI014"
Red Rice,"Pol Sambol, Seer Fish Curry, Coriander Sambol, Indian Fish Curry","Red Rice with Pol Sambol, Seer Fish Curry, Coriander Sambol, Indian Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Seer fish,  Coconut milk, Coriander,  pepper, Fish","40, 110.0, 25.0, 10.0, 3.0, 3.0, 50.0, 25.0, 60.0, 5.0, 60.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLF025,  SLI005, SLK006, SLK018, SLF034"
Red Rice,"Beetroot Curry, Fish Curry, Fenugreek Curry, Beetroot curry","Red Rice with Beetroot Curry, Fish Curry, Fenugreek Curry, Beetroot curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Fish, Fenugreek,  Coconut milk,  Chillies","40, 100.0, 70.0, 8.0, 14.0, 50.0, 50.0, 25.0, 20.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLF013, SLK010,  SLI005, SLK002"
Red Rice,"Beetroot Curry, Mint Sambol, Coconut Sambol, Chickpea Salad","Red Rice with Beetroot Curry, Mint Sambol, Coconut Sambol, Chickpea Salad","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Mint,  Coconut,  pepper,  Chili,  Onion, Chickpeas,  Carrot,  Cabbage","40, 30.0, 70.0, 5.0, 2.0, 60.0, 30.0, 5.0, 15.0, 20.0, 60.0, 30.0, 30.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLI020,  SLI005, SLK018,  SLK002, SLD060, SLI013, SLB002, SLD021"
Red Rice,"Chicken Curry, Soya Meat Curry, Jaffna Crab Curry, Beef Curry","Red Rice with Chicken Curry, Soya Meat Curry, Jaffna Crab Curry, Beef Curry","Red rice, Chicken,  Coconut milk,  Spices, Soya meat,  Chillies, Crab,  Coconut milk,  Chillies, Beef","40, 40.0, 35.0, 5.0, 50.0, 10.0, 50.0, 50.0, 20.0, 60.0","SLA009, SLH006, SLI005, SLK006, SLK008, SLK004, SLF045,  SLI005, SLK002, SLH016"
Red Rice,"Cashew Curry, Kohila Curry, Capsicum Curry, Pumpkin curry","Red Rice with Cashew Curry, Kohila Curry, Capsicum Curry, Pumpkin curry","Red rice, Cashew,  Coconut milk,  Chillies, Kohila, Capsicum, Pumpkin,  Coconut milk, curry leaves","40, 50.0, 75.0, 40.0, 50.0, 50.0, 60.0, 20.0, 5.0","SLA009, SLI004,  SLI005, SLK002, SLB004, SLF045, SLD071, SLI005, SLK009"
Red Rice,"Bathala Curry, Bitter Gourd Curry, Tapioca Chips, Indian Fish Curry","Red Rice with Bathala Curry, Bitter Gourd Curry, Tapioca Chips, Indian Fish Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Bitter gourd, Tapioca,  Oil,  Salt, Fish,  chillies","40, 50.0, 75.0, 15.0, 3.0, 50.0, 50.0, 20.0, 10.0, 60.0, 10.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLD013, SLB011,  SLJ002,  SLK002, SLF034, SLK002"
Red Rice,"Gotu Kola Sambol, Bathala Curry, Drumstick Curry, Fish Patties","Red Rice with Gotu Kola Sambol, Bathala Curry, Drumstick Curry, Fish Patties","Red rice, Gotu Kola,  Coconut,  Onion, Sweet potato,  Spices, curry leaves, Drumstick, Fish,  Flour,  Oil","40, 10.0, 55.0, 15.0, 50.0, 10.0, 3.0, 50.0, 40.0, 30.0, 30.0","SLA009, SLD048, SLI005, SLD060, SLB010, SLK006, SLK009, SLD041, SLF036,  SLF034,  SLJ002"
Red Rice,"Sweet Corn Curry, Radish Sambol, Polos Mallum, Kiri Hodi","Red Rice with Sweet Corn Curry, Radish Sambol, Polos Mallum, Kiri Hodi","Red rice, Sweet corn,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Jackfruit,  oil","40, 50.0, 25.0, 10.0, 60.0, 120.0, 5.0, 50.0, 5.0","SLA009, SLD037,  SLI005 , SLK002, SLB007, SLI005, SLK018, SLE024, SLJ002"
Red Rice,"Green Gram Curry, Carrot Sambol, Mango Chutney, Devilled Beef","Red Rice with Green Gram Curry, Carrot Sambol, Mango Chutney, Devilled Beef","Red rice, Green gram,  Coconut milk,  Spices, Carrot,  Coconut,  pepper, Mango,  Vinegar,  sugar, Beef,  Oil,  chillies","40, 50.0, 25.0, 10.0, 50.0, 10.0, 5.0, 40.0, 10.0, 10.0, 80.0, 30.0, 5.0","SLA009, SLC006, SLI005, SLK006, SLB002,  SLI005,  SLK018, SLE030, SLI017, SLI011, SLH016, SLJ002, SLK002"
Red Rice,"Bathala Curry, Ash Plantain Curry, Beetroot curry, Ginger Chicken","Red Rice with Bathala Curry, Ash Plantain Curry, Beetroot curry, Ginger Chicken","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Ash plantain,  Chillies, Beetroot,  chillies, Chicken,  Ginger","40, 50.0, 75.0, 5.0, 13.0, 50.0, 10.0, 70.0, 20.0, 50.0, 25.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLD005, SLK004, SLB001, SLK002, SLH006, SLK012"
Red Rice,"Eggplant Curry, Bitter Leaf Curry, Fish Cutlets, Indian Fish Curry","Red Rice with Eggplant Curry, Bitter Leaf Curry, Fish Cutlets, Indian Fish Curry","Red rice, Eggplant,  Spices,  Coconut milk, Bitter leaves,  Chillies, Fish,  Potatoes,  Chillies","40, 30.0, 2.0, 65.0, 50.0, 20.0, 90.0, 50.0, 10.0","SLA009, SLD019, SLK006, SLI005, SLD013, SLK002, SLF034,  SLB006,  SLK002"
Red Rice,"Gotu Kola Sambol, Ash Plantain Curry, Okra Curry, Tender Jackfruit Fry","Red Rice with Gotu Kola Sambol, Ash Plantain Curry, Okra Curry, Tender Jackfruit Fry","Red rice, Gotu Kola,  Coconut,  Onion, Ash plantain,  Chillies, Okra,  Coconut milk,  Chillies, Jackfruit,  Oil","40, 10.0, 40.0, 15.0, 50.0, 10.0, 50.0, 25.0, 10.0, 90.0, 20.0","SLA009, SLD048, SLI005, SLD060, SLD005, SLK004, SLD053,  SLI005, SLK002, SLD049, SLJ002"
Red Rice,"Cuttlefish Curry, Thalapath Fish Curry, Kohila Curry, Polos Ambula","Red Rice with Cuttlefish Curry, Thalapath Fish Curry, Kohila Curry, Polos Ambula","Red rice, Cuttlefish,  Coconut milk,  Spices, Thalapath fish, Kohila,  Coconut milk,  Chillies, Jackfruit,  curry leaves","40, 50.0, 80.0, 20.0, 50.0, 50.0, 25.0, 20.0, 80.0, 10.0","SLA009, SLK007, SLI005, SLK006, SLF019, SLB004,  SLI005, SLK002, SLD049, SLK009"
Red Rice,"Bitter Gourd Curry, Soya Meat Curry, Fenugreek Curry, Dry Fish Curry","Red Rice with Bitter Gourd Curry, Soya Meat Curry, Fenugreek Curry, Dry Fish Curry","Red rice, Bitter gourd,  Coconut milk,  Spices, Soya meat,  Chillies, Fenugreek,  Coconut milk,  Chillies, Dry fish,  Chillies","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0","SLA009, SLD013, SLI005, SLK006, SLK008, SLK004, SLK010,  SLI005, SLK002, SLF020,  SLK002"
Red Rice,"Elumas Curry, Bean Curry, Fish Cutlets, Mango Chutney","Red Rice with Elumas Curry, Bean Curry, Fish Cutlets, Mango Chutney","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Beans, Fish,  Potatoes,  Chillies, Mango,  Vinegar,  sugar","40, 50.0, 60.0, 35.0, 2.0, 30.0, 30.0, 50.0, 10.0, 40.0, 10.0, 10.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLD006, SLF034,  SLB006,  SLK002, SLE030, SLI017, SLI011"
